begin,end,begin_segment,end_segment,begin_line,end_line,leftContext,surface,rightContext,entityNum,entityLabel,entityGroup
175758,175771,,,-1,-1,"tnen Lebens,              Hat",meine Tochter,"aus dem Feu'r gerettet.      ",0,"transfer(nathan, saladin, child_of(CHILD_OF[NATHAN], nathan))",false
65349,65442,,,-1,-1,"   Ich bin ein plumper Schwab.",Des Mädchens Bild              Ist längst aus meiner Seele; wenn es je              Da war.,DAJA.            Doch Eures i,1,"transfer(tempelherr, daja, !in_love_with(tempelherr, recha))",false
302583,302705,,,-1,-1,"                     RECHA.",Ich sei              Aus christlichem Geblüte; sei getauft;              Sei Nathans Tochter nicht; er nicht mein Vater!,–              Gott! Gott! Er,2,"transfer(recha, sittah, transfer(daja, recha, fosterparent_of(nathan, recha)))",false
61548,61560,,,-1,-1,"                        Auch",Rechas Vater,"ist heut angekommen.         ",3,"transfer(daja, tempelherr, parent_of(PARENT[RECHA], recha))",false
20402,20491,,,-1,-1,"herrn              Begnadigt,","weil er seiner Brüder einem,              Den er besonders lieb gehabt, so ähnlich sehe.",Doch da es viele zwanzig Jahre,4,"transfer(daja, audience, siblings(SIBLING[SALADIN], saladin) ",false
317477,317571,,Letzter Auftritt,-1,-1,"   Euch! – Aber Rechas Bruder?",Rechas Bruder ...                                         NATHAN.            Seid Ihr!,TEMPELHERR.            Ich? i,5,"transfer(nathan, [tempelherr, sittah, saladin, recha, audience], siblings(tempelherr, recha))",false
319307,319340,,,-1,-1,"                     NATHAN.",Blanda              Von Filneck!,"TEMPELHERR.                ",6,"transfer(nathan, [recha, audience, saladin, sittah, tempelherr], has_name(recha, ""Blanda von Filneck""))",false
287170,287208,,,-1,-1,"                     NATHAN.",Besonders hat ein Bruder sich gefunden,",              Bei dem Ihr um",7,"transfer(nathan, [tempelherr, audience], siblings(SIBLING[RECHA], recha))",false
231151,231245,,,-1,-1,st für sie getan soll haben: –,"Dies Mädchen selbst, ist seine Tochter – nicht;              Ist ein verzettelt Christenkind.","SALADIN.                   ",8,"transfer(tempelherr, saladin, !parent_of(nathan, recha))",false
7525,7538,,,-1,-1,"          Da kommen die Kamele",meines Vaters,"!              Horch! seine s",9,"transfer(daja, audience, knowledge(recha, parent_of(nathan, recha)))",false
191773,191914,,,-1,-1," hier zusammen.) – Liebe Daja,","Nehmt für gestanden an, was Ihr verlangt:              Daß ich sie liebe; daß ich nicht begreife,              Wie ohne sie ich leben werde","; daß ...                  ",10,"transfer(tempelherr, daja, in_love_with(tempelherr, recha))",false
322363,322390,,,-1,-1,"                     NATHAN.",Noch wissen sie von nichts!,"Noch stehts bei dir          ",11,"transfer(nathan, saladin, !knowledge([recha, tempelherr], parent_of(""Assad"", [recha, tempelherr])))",false
178351,178448,,,-1,-1,mein Tod. – Ist das nun Liebe:,"So – liebt der Tempelritter freilich, – liebt              Der Christ das Judenmädchen freilich.","– Hm!              Was tuts? ",12,"transfer(tempelherr, audience, in_love_with(tempelherr, recha))",false
257163,257219,,,-1,-1,"                     NATHAN.",Hieß nicht ihr Bruder              Conrad von Stauffen?,"– und war Tempelherr?        ",13,"transfer(nathan, audience, has_name(UNCLE[RECHA], ""Conrad von Stauffen""",false
228044,228192,,,-1,-1,"                 TEMPELHERR.","Daß diesem Eindruck, auf das liebliche              Geschwätz des Vaters hin, mein rasches Herz               So wenig Widerstand entgegen setzte!",–              Ich Tropf! ich,14,"transfer(tempelherr, saladin, in_love_with(tempelherr, recha))",false
322868,322912,,,-1,-1,"d es, Sittah, sind! Sie sinds!",Sind beide meines ... deines Bruders Kinder!,"Er rennt in ihre Umarmungen. ",15,"transfer(saladin, [sittah, recha, tempelherr], parent_of(""Assad"", [recha, tempelherr]))",false
247401,247611,,Siebenter Auftritt,-1,-1,genheit gegeben haben. – Sagt:,Hat Euch ein Reitknecht nicht vor achtzehn Jahren              Ein Töchterchen gebracht von wenig Wochen?                                         NATHAN.            Wie das? – Nun freilich – allerdings,"–                        ",16,"transfer(klosterbruder, nathan, knowledge(klosterbruder, fosterchild_of(FOSTERCHILD[NATHAN], nathan))",false
58785,58929,,,-1,-1,"olle, – meint der Patriarch, –","Daß Euch nur darum Saladin begnadet,              Weil ihm in Eurer Mien', in Euerm Wesen,              So was von seinem Bruder eingeleuchtet","...                      ",17,"transfer(klosterbruder, tempelherr, knowledge(patriarch, brother_of(BROTHER[SALADIN], saladin)))",false
380,405,Personen.,Personen.,-1,-1,nen.          Sultan Saladin.,"Sittah, dessen Schwester.","Nathan, ein reicher Jude in Je",18,"transfer(""Figurentafel"", audience, siblings(sittah, saladin))",false
118425,118435,,,-1,-1,des Geschlechts schon mehrere.,Mein Oheim,"selbst, – mein Vater will ich ",19,"transfer(tempelherr, nathan, uncle_of(UNCLE[TEMPELHERR], tempelherr))",false
322249,322293,Letzter Auftritt,Letzter Auftritt,-1,-1,"     es begierig aufschlagend.",Ah! seine Hand! Auch die erkenn' ich wieder!,"NATHAN.                    ",20,"transfer(saladin, [nathan, audience], identity(""Assad"", ""Wolf von Filneck""))",false
184405,184474,,,-1,-1,"                 TEMPELHERR.",Ich heiße selber ja nach meinem Vater: Curd              Ist Conrad.,"NATHAN.                    ",21,"transfer(tempelherr, nathan, parent_of(""Conrad von Stauffen"", tempelherr))",false
118446,118471,,,-1,-1,"          Mein Oheim selbst, –",mein Vater will ich sagen,", –              Doch warum s",22,"transfer(tempelherr, nathan, fosterparent_of(UNCLE[TEMPELHERR], tempelherr))",false
196572,196681,Zehnter Auftritt,,-1,-1,TEMPELHERR            hastig.,Und Nathan?                              DAJA.                         Nicht              Ihr Vater!,"TEMPELHERR.                ",23,"transfer(daja, tempelherr, !parent_of(nathan, recha))",false
