begin,end,begin_segment,end_segment,begin_line,end_line,leftContext,surface,rightContext,entityNum,entityLabel,entityGroup
74950,74975,[Stücktext],[Stücktext],-1,-1,"                  PHILIPP.",Und sie lieben dich beide,", selbstverständlich. Die Komt",0,"transfer(philipp, [audience, fuerst], in_love_with(komtesse, fuerst), suspicion)",false
47065,47072,[Stücktext],[Stücktext],-1,-1,"FÜRST.          Guten Morgen,",Philipp,". Erlauben Sie, Komtesse, daß ",1,"transfer(fuerst, [komtesse, audience], identity(CHILD[FUERST], philipp))",false
21203,21212,[Stücktext],[Stücktext],-1,-1,"                    FÜRST.",Mein Sohn,", lieber Arpard.           ",2,"transfer( fuerst, [audience, graf], child_of(CHILD[FUERST], fuerst))",false
62129,62921,[Stücktext],[Stücktext],-1,-1,"                     LOLO.","Aber Gräfin – Kutscher! – Höchstens wie der Herr Papa – verzeihn schon – wenn er            zufällig einmal seine Braunen selber fahrt. Fiakereigentümer ist mein Verlobter,            Hausbesitzer und Bürger von Wien, der selber nur auf den Bock steigt, wenn's ihn halt            freut und wenn er für jemanden eine besondere Wertschätzung hat. Jetzt führt er einen            gewissen Baron Radeiner. Jetzt grad, Gräfin, hat er ihn zu Ihrem Herrn Papa            herausgeführt. Der geht mir übrigens ab, der Herr Radeiner.                        PHILIPP.          Erlaube, mich vorzustellen: Baron Radeiner.                        LOLO.          Sie, Durchlaucht?                        PHILIPP.          Ich fahr' überhaupt, seit ich in Wien bin, nur mit dem Wasner.",LOLO.          Unter einem an,3,"transfer(lolo, [fuerst, philipp, komtesse, audience], identity, (FIANCEE[LOLO]), wasner))",false
229,242,Personen.,Personen.,-1,-1,"rpad Pazmandy          Mizzi,",seine Tochter,"Egon Fürst Ravenstein        ",4,"transfer(""Figurentafel"", audience, child_of(komtesse, graf))",false
17802,17825,[Stücktext],[Stücktext],-1,-1," malt. Das ist grad so wie bei",meiner gottseligen Tant,"', der            Fanny Hohen",5,"transfer(fuerst, [audience, graf], relatives(fuerst, fanny hohenstein))",false
61778,61822,[Stücktext],[Stücktext],-1,-1,"                     LOLO.","Ja, ich trete in den heiligen Stand der Ehe.",PHILIPP.          Und wer ist,6,"transfer(lolo, [fuerst, philipp, komtesse, graf, audeince], identity, FIANCEE[LOLO], wasner))",false
62266,62347,[Stücktext],[Stücktext],-1,-1,al seine Braunen selber fahrt.,"Fiakereigentümer ist mein Verlobter,            Hausbesitzer und Bürger von Wien",", der selber nur auf den Bock ",7,"transfer(lolo, [fuerst, philipp, komtesse, audience], identity, (FIANCEE[LOLO]), wasner))",false
72876,72918,[Stücktext],[Stücktext],-1,-1," nach Haus            fuhren,",ich nehm' meinen Sohn in meinem Wagen mit.,WASNER.          Der Herr Soh,8,"transfer(fuerst, wasner, child_of(philipp, fuerst))",false
11534,11565,[Stücktext],[Stücktext],-1,-1,"                    FÜRST.",Was ist denn dran so merkwürdig,"?                        ",9,Was ist denn dran so merkwürdig,false
75877,75972,[Stücktext],[Stücktext],-1,-1,"bin, in die Stadt hineinfährt?","Wenn es            meine eigene Mutter wäre, die ich aus der Zeitung herausgeschnitten habe –?","FÜRST.          Bub', du wirs",10,"transfer(philipp, [audience, fuerst], parent_of(lolo, philipp), suspicion)",false
58907,58925,[Stücktext],[Stücktext],-1,-1,"   FÜRST          stellt vor.",Mein Sohn Philipp.,"Und das ist Fräulein ...     ",11,"transfer(fuerst, lolo, child_of(philipp, fuerst))",false
87962,87980,[Stücktext],[Stücktext],-1,-1,st auch wirklich keinen Grund.,War's nicht schön?,Reicht ihm die            Han,12,"transfer(komtesse, audience, couples(komtesse, professor_windhofer))",false
74674,74800,[Stücktext],[Stücktext],-1,-1,"                  PHILIPP.","Dieses Fräulein Lolo ist die natürliche Tochter des Grafen, also eine Schwester der            Komtesse, ihre Milchschwester.",FÜRST.          Stiefschweste,13,"transfer(philipp, [audience, fuerst], child_of(lolo, graf), suspicion))",false
36559,36656,[Stücktext],[Stücktext],-1,-1,e Schweres über mich gebracht.,"Damals, wie            ich ihn hab' hergeben müssen, acht Tage nachdem er zur Welt gekommen ist.","FÜRST.          Ja, damals bl",14,"transfer(komtesse, audience, parent_of(komtesse, CHILD[FUERST]))",false
8617,8630,[Stücktext],[Stücktext],-1,-1,"                     GRAF.","Ja, die Lolo.","FÜRST.          Aber das ist ",15,"transfer(graf, [fuerst, audience] engaged(lolo, FIANCEE[LOLO]))",false
15769,15810,[Stücktext],[Stücktext],-1,-1,"cheint, sie merkt's gar nicht.","Glaubst, sie hat was gewußt von der Lolo?","FÜRST          lacht.       ",16,"transfer(graf, audience, lovers(graf, lolo), uncertain)",false
74950,74975,[Stücktext],[Stücktext],-1,-1,"                  PHILIPP.",Und sie lieben dich beide,", selbstverständlich. Die Komt",17,"transfer(philipp, [audience, fuerst], in_love_with(lolo, fuerst), suspicion)",false
70426,70476,[Stücktext],[Stücktext],-1,-1,"  Die G'schicht' ist halt die:",Ich hab' mich so wahnsinnig in den Wasner verliebt,". Sie            werden doch ",18,"transfer(lolo, [audience, komtesse], in_love_with(lolo, wasner)) ",false
